spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020/09/21,28.142857142857142,28.142857142857142,1015.7142857142857,1382.5714285714287,7.428571428571429,7.857142857142857,-11.714285714285714,-14.571428571428571,-1.5714285714285714,-1.5714285714285714,92.28571428571429,86.71428571428571,-40.857142857142854,-43.0,7.0,7.428571428571429
1,2020/09/28,36.57142857142857,36.57142857142857,1382.5714285714287,1867.5714285714287,7.857142857142857,32.42857142857143,-14.571428571428571,-16.285714285714285,-1.5714285714285714,-0.7142857142857143,86.71428571428571,54.42857142857143,-43.0,-44.57142857142857,7.428571428571429,8.428571428571429
1,2020/10/05,46.857142857142854,46.857142857142854,1867.5714285714287,2271.714285714286,32.42857142857143,19.714285714285715,-16.285714285714285,-18.857142857142858,-0.7142857142857143,0.5714285714285714,54.42857142857143,53.857142857142854,-44.57142857142857,-45.42857142857143,8.428571428571429,8.714285714285714
1,2020/10/12,62.42857142857143,62.42857142857143,2271.714285714286,2343.0,19.714285714285715,21.714285714285715,-18.857142857142858,-23.428571428571427,0.5714285714285714,-6.571428571428571,53.857142857142854,45.857142857142854,-45.42857142857143,-48.57142857142857,8.714285714285714,11.285714285714286
1,2020/10/19,72.14285714285714,72.14285714285714,2343.0,2581.4285714285716,21.714285714285715,28.142857142857142,-23.428571428571427,-20.142857142857142,-6.571428571428571,-3.142857142857143,45.857142857142854,27.714285714285715,-48.57142857142857,-46.142857142857146,11.285714285714286,10.142857142857142
1,2020/10/26,78.14285714285714,78.14285714285714,2581.4285714285716,2967.8571428571427,28.142857142857142,36.57142857142857,-20.142857142857142,-19.857142857142858,-3.142857142857143,-1.5714285714285714,27.714285714285715,11.714285714285714,-46.142857142857146,-45.857142857142854,10.142857142857142,9.857142857142858
1,2020/11/02,92.14285714285714,92.14285714285714,2967.8571428571427,3930.8571428571427,36.57142857142857,46.857142857142854,-19.857142857142858,-21.142857142857142,-1.5714285714285714,-5.142857142857143,11.714285714285714,32.42857142857143,-45.857142857142854,-46.714285714285715,9.857142857142858,10.142857142857142
1,2020/11/09,108.85714285714286,108.85714285714286,3930.8571428571427,4610.714285714285,46.857142857142854,62.42857142857143,-21.142857142857142,-22.142857142857142,-5.142857142857143,-4.857142857142857,32.42857142857143,15.0,-46.714285714285715,-49.857142857142854,10.142857142857142,11.571428571428571
1,2020/11/16,119.57142857142857,119.57142857142857,4610.714285714285,4928.0,62.42857142857143,72.14285714285714,-22.142857142857142,-23.428571428571427,-4.857142857142857,-5.714285714285714,15.0,-5.142857142857143,-49.857142857142854,-50.714285714285715,11.571428571428571,11.571428571428571
1,2020/11/23,113.85714285714286,113.85714285714286,4928.0,5675.142857142857,72.14285714285714,78.14285714285714,-23.428571428571427,-24.142857142857142,-5.714285714285714,-5.285714285714286,-5.142857142857143,-4.285714285714286,-50.714285714285715,-51.57142857142857,11.571428571428571,11.857142857142858
